Time;CPU Usage
39827.591644;3;3
39827.591691;0;2
39827.591737;0;4
39827.591783;0;2
39827.591829;9;1
39827.591875;17;6
39827.591922;20;2
39827.591970;0;8
39827.592014;0;6
39827.592061;2;5
39827.592107;9;8
39827.592153;14;5
39827.592200;8;6
39827.592246;20;3
39827.592293;0;4
39827.592339;1;2
39827.592385;0;4
39827.592432;40;9
39827.592478;50;4
39827.592524;48;6
39827.592571;50;8
39827.592616;40;9
39827.592663;0;0
39827.592709;9;6
39827.592755;12;0
39827.592801;22;3
39827.592848;21;3
39827.592894;1;6
39827.592940;2;5
39827.593032;0;0
