Time,Used
39827.602091,4733184
39827.602135,3986192
39827.602181,4351216
39827.602227,4627168
39827.602274,4859496
39827.602320,4493224
39827.602367,6067216
39827.602413,5794208
39827.602459,5295712
39827.602505,6176272
39827.602552,5309992
39827.602598,5846896
39827.602644,5755440
39827.602690,6032096
39827.602737,6099176
39827.602783,5607544
39827.602829,5922328
39827.602876,5528920
39827.602922,5833248
39827.602968,5838912
39827.603015,6239896
39827.603061,5559080
39827.603107,5481376
39827.603153,5772800
39827.603200,5648624
39827.603246,6240104
39827.603292,5555576
39827.603385,0
